Code	Repository	GeneName	GeneSymbol	MotifLength
GLI3_HUMAN.H10MO.B	HOCOMOCOv10	GLI3	GLI3	11
GLIS1_HUMAN.H10MO.D	HOCOMOCOv10	GLIS1	GLIS1	13
GLIS2_HUMAN.H10MO.D	HOCOMOCOv10	GLIS2	GLIS2	14
GLIS3_HUMAN.H10MO.D	HOCOMOCOv10	GLIS3	GLIS3	10
GMEB2_HUMAN.H10MO.D	HOCOMOCOv10	GMEB2	GMEB2	11
GRHL1_HUMAN.H10MO.D	HOCOMOCOv10	GRHL1	GRHL1	12
GSC2_HUMAN.H10MO.D	HOCOMOCOv10	GSC2	GSC2	11
GSC_HUMAN.H10MO.D	HOCOMOCOv10	GSC	GSC	11
GSX1_HUMAN.H10MO.D	HOCOMOCOv10	GSX1	GSX1	15
GSX2_HUMAN.H10MO.D	HOCOMOCOv10	GSX2	GSX2	16
HAND1_HUMAN.H10MO.D	HOCOMOCOv10	HAND1	HAND1	12
HBP1_HUMAN.H10MO.D	HOCOMOCOv10	HBP1	HBP1	9
HEN1_HUMAN.H10MO.C	HOCOMOCOv10	HEN1	HENMT1|NHLH1	20
HES1_HUMAN.H10MO.D	HOCOMOCOv10	HES1	HES1	13
HES5_HUMAN.H10MO.D	HOCOMOCOv10	HES5	HES5	12
HES7_HUMAN.H10MO.D	HOCOMOCOv10	HES7	HES7	12
HESX1_HUMAN.H10MO.D	HOCOMOCOv10	HESX1	HESX1	16
HEY1_HUMAN.H10MO.D	HOCOMOCOv10	HEY1	HEY1	12
HEY2_HUMAN.H10MO.D	HOCOMOCOv10	HEY2	HEY2	17
HIC1_HUMAN.H10MO.C	HOCOMOCOv10	HIC1	HIC1	9
HIC2_HUMAN.H10MO.D	HOCOMOCOv10	HIC2	HIC2	11
HIF1A_HUMAN.H10MO.A	HOCOMOCOv10	HIF1A	HIF1A	12
HINFP_HUMAN.H10MO.C	HOCOMOCOv10	HINFP	HINFP	16
HLF_HUMAN.H10MO.C	HOCOMOCOv10	HLF	HLF	13
HLTF_HUMAN.H10MO.D	HOCOMOCOv10	HLTF	HLTF	12
HMGA1_HUMAN.H10MO.D	HOCOMOCOv10	HMGA1	HMGA1	7
HMGA2_HUMAN.H10MO.D	HOCOMOCOv10	HMGA2	HMGA2	15
HMX1_HUMAN.H10MO.D	HOCOMOCOv10	HMX1	HMX1	17
HMX2_HUMAN.H10MO.D	HOCOMOCOv10	HMX2	HMX2	11
HMX3_HUMAN.H10MO.D	HOCOMOCOv10	HMX3	HMX3	11
HNF1A_HUMAN.H10MO.A	HOCOMOCOv10	HNF1A	HNF1A	15
HNF1B_HUMAN.H10MO.B	HOCOMOCOv10	HNF1B	HNF1B	14
HNF4A_HUMAN.H10MO.A	HOCOMOCOv10	HNF4A	HNF4A	14
HNF4G_HUMAN.H10MO.C	HOCOMOCOv10	HNF4G	HNF4G	14
HNF6_HUMAN.H10MO.C	HOCOMOCOv10	HNF6	ONECUT1	14
HOMEZ_HUMAN.H10MO.D	HOCOMOCOv10	HOMEZ	HOMEZ	15
HSF1_HUMAN.H10MO.A	HOCOMOCOv10	HSF1	HSF1	14
HSF2_HUMAN.H10MO.A	HOCOMOCOv10	HSF2	HSF2	14
HSF4_HUMAN.H10MO.D	HOCOMOCOv10	HSF4	HSF4	15
HSFY1_HUMAN.H10MO.D	HOCOMOCOv10	HSFY1	HSFY1	12
HTF4_HUMAN.H10MO.B	HOCOMOCOv10	HTF4	TCF12	11
ID4_HUMAN.H10MO.D	HOCOMOCOv10	ID4	ID4	11
IKZF1_HUMAN.H10MO.C	HOCOMOCOv10	IKZF1	IKZF1	8
INSM1_HUMAN.H10MO.C	HOCOMOCOv10	INSM1	INSM1	12
IRF1_HUMAN.H10MO.A	HOCOMOCOv10	IRF1	IRF1	20
IRF2_HUMAN.H10MO.C	HOCOMOCOv10	IRF2	IRF2	14
IRF3_HUMAN.H10MO.C	HOCOMOCOv10	IRF3	IRF3	17
IRF4_HUMAN.H10MO.C	HOCOMOCOv10	IRF4	IRF4	16
IRF5_HUMAN.H10MO.D	HOCOMOCOv10	IRF5	IRF5	20
IRF7_HUMAN.H10MO.C	HOCOMOCOv10	IRF7	IRF7	10
IRF8_HUMAN.H10MO.D	HOCOMOCOv10	IRF8	IRF8	15
IRF9_HUMAN.H10MO.C	HOCOMOCOv10	IRF9	IRF9	12
IRX2_HUMAN.H10MO.D	HOCOMOCOv10	IRX2	IRX2	19
IRX3_HUMAN.H10MO.D	HOCOMOCOv10	IRX3	IRX3	11
ISL1_HUMAN.H10MO.D	HOCOMOCOv10	ISL1	ISL1	7
ISL2_HUMAN.H10MO.D	HOCOMOCOv10	ISL2	ISL2	11
ISX_HUMAN.H10MO.D	HOCOMOCOv10	ISX	ISX	16
ITF2_HUMAN.H10MO.B	HOCOMOCOv10	ITF2	TCF4	9
JDP2_HUMAN.H10MO.D	HOCOMOCOv10	JDP2	JDP2	12
JUNB_HUMAN.H10MO.C	HOCOMOCOv10	JUNB	JUNB	11
JUND_HUMAN.H10MO.A	HOCOMOCOv10	JUND	JUND	11
